,address,incidentCount,lat,lng,incidentCummSum,daysWithIncidentPercent
163,"1200 10 AV, LETHBRIDGE, AB, Canada",57,49.71386280000001,-112.8297147,0.6054120165112368,0.10545454545454545
164,"900 5 AV, LETHBRIDGE, AB, Canada",57,49.70537789999999,-112.8333892,0.60650129949549,0.12727272727272726
165,"2000 9 AV, LETHBRIDGE, AB, Canada",56,49.6863914,-112.8126592,0.6075714722519493,0.13090909090909092
166,"300 HIGHLANDS BD, LETHBRIDGE, AB, Canada",55,49.6972807,-112.8983172,0.6086225347806146,0.10545454545454545
168,"2000 2 AV, LETHBRIDGE, AB, Canada",55,49.7007473,-112.8127523,0.6107246598379452,0.10545454545454545
167,"3200 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",55,49.6600477,-112.7957476,0.60967359730928,0.16
169,"300 18 ST, LETHBRIDGE, AB, Canada",54,49.7025911,-112.8169603,0.6117566121388167,0.13090909090909092
170,"2300 23 ST, LETHBRIDGE, AB, Canada",54,49.7248588,-112.8108173,0.6127885644396881,0.12
171,"1 EAGLE RD, LETHBRIDGE, AB, Canada",53,49.72538249999999,-112.8080786,0.6138014065127656,0.13454545454545455
172,"900 12A ST, LETHBRIDGE, AB, Canada",53,49.71329799999999,-112.8287696,0.6148142485858431,0.09454545454545454
173,"400 10 ST, LETHBRIDGE, AB, Canada",53,49.7042655,-112.8328759,0.6158270906589206,0.14909090909090908
174,"3400 PARKSIDE DR, LETHBRIDGE, AB, Canada",53,49.683394,-112.791126,0.6168399327319982,0.11636363636363636
175,"700 HERITAGE BD, LETHBRIDGE, AB, Canada",53,49.6967924,-112.8876378,0.6178527748050757,0.12
176,"200 MCMASTER BD, LETHBRIDGE, AB, Canada",50,49.6761451,-112.8850736,0.6188082861947715,0.11636363636363636
177,"500 16 ST, LETHBRIDGE, AB, Canada",50,49.70597009999999,-112.8201606,0.6197637975844672,0.11272727272727273
180,"300 BLUEFOX BD, LETHBRIDGE, AB, Canada",49,49.72922399999999,-112.8117718,0.6225730010701728,0.12
182,"800 4 ST, LETHBRIDGE, AB, Canada",49,49.68664829999999,-112.8408967,0.6244458033939765,0.08727272727272728
181,"1500 ST FRANCIS RD, LETHBRIDGE, AB, Canada",49,49.7201184,-112.831042,0.6235094022320746,0.12
179,"1 RUTGERS CR, LETHBRIDGE, AB, Canada",49,49.6718875,-112.8935578,0.6216365999082709,0.08363636363636363
178,"600 11 ST, LETHBRIDGE, AB, Canada",49,49.69139089999999,-112.8302995,0.6207001987463691,0.10545454545454545
183,"300 12B ST, LETHBRIDGE, AB, Canada",48,49.7031174,-112.8269264,0.6253630943280843,0.10181818181818182
184,"2400 FAIRWAY PLAZA RD, LETHBRIDGE, AB, Canada",48,49.6684315,-112.7947067,0.6262803852621923,0.10545454545454545
185,"1500 9 AV, LETHBRIDGE, AB, Canada",48,49.6866834,-112.8208432,0.6271976761963003,0.10181818181818182
186,"1 AV & STAFFORD DR, LETHBRIDGE, AB, Canada",48,49.698149,-112.8340882,0.6281149671304082,0.16363636363636364
187,"800 4 AV, LETHBRIDGE, AB, Canada",47,49.69449059999999,-112.8354873,0.6290131478367222,0.09090909090909091
188,"800 12 ST, LETHBRIDGE, AB, Canada",46,49.71101669999999,-112.8298071,0.6298922183152423,0.09090909090909091
189,"300 3 ST, LETHBRIDGE, AB, Canada",46,49.6951865,-112.8434381,0.6307712887937624,0.11272727272727273
190,"1300 STAFFORD DR, LETHBRIDGE, AB, Canada",46,49.7167042,-112.8329552,0.6316503592722825,0.08363636363636363
191,"2100 5 AV, LETHBRIDGE, AB, Canada",46,49.6934457,-112.8112672,0.6325294297508026,0.10181818181818182
192,"1400 16 ST, LETHBRIDGE, AB, Canada",46,49.7175124,-112.8204427,0.6334085002293227,0.09818181818181818
193,"2300 36 ST, LETHBRIDGE, AB, Canada",46,49.669742,-112.7892,0.6342875707078428,0.08727272727272728
200,"1 CHILCOTIN RD, LETHBRIDGE, AB, Canada",45,49.6827267,-112.8924519,0.6403072924629262,0.08
197,"900 3 AV, LETHBRIDGE, AB, Canada",45,49.7029968,-112.8346381,0.6377274117107475,0.09818181818181818
198,"2500 WALSH DR, LETHBRIDGE, AB, Canada",45,49.69676949999999,-112.8969736,0.6385873719614737,0.09818181818181818
199,"800 8 ST, LETHBRIDGE, AB, Canada",45,49.6874104,-112.8345285,0.6394473322122,0.08727272727272728
196,"1000 4 AV, LETHBRIDGE, AB, Canada",45,49.6940907,-112.8318737,0.6368674514600214,0.08363636363636363
194,"1 ST JAMES CR, LETHBRIDGE, AB, Canada",45,49.72232229999999,-112.831273,0.635147530958569,0.08
195,"1000 8 ST, LETHBRIDGE, AB, Canada",45,49.6836348,-112.833749,0.6360074912092952,0.08727272727272728
204,"500 9 AV, LETHBRIDGE, AB, Canada",44,49.6859164,-112.8382963,0.6436706925546553,0.08727272727272728
206,"600 6 ST, LETHBRIDGE, AB, Canada",44,49.6908027,-112.8385866,0.6453523926005198,0.10545454545454545
205,"2900 12 AV, LETHBRIDGE, AB, Canada",44,49.6799968,-112.7992889,0.6445115425775875,0.07636363636363637
207,"1800 5 AV, LETHBRIDGE, AB, Canada",44,49.6931537,-112.8156862,0.6461932426234521,0.09454545454545454
203,"500 20 ST, LETHBRIDGE, AB, Canada",44,49.6932351,-112.8134007,0.6428298425317229,0.10181818181818182
202,"1 HIGHLANDS PL, LETHBRIDGE, AB, Canada",44,49.6972746,-112.8989334,0.6419889925087907,0.09818181818181818
