address,lat,lng,incidentCount
"1 AV & 5 ST, LETHBRIDGE, AB, Canada",49.69778789999999,-112.8405093,33
"800 2 AV, LETHBRIDGE, AB, Canada",49.7007353,-112.823065,33
"200 20 ST, LETHBRIDGE, AB, Canada",49.7011269,-112.8134334,33
"400 4 AV, LETHBRIDGE, AB, Canada",49.6936251,-112.8410923,33
"200 15 ST, LETHBRIDGE, AB, Canada",49.7007831,-112.8213388,33
"100 COWICHAN CT, LETHBRIDGE, AB, Canada",49.68303419999999,-112.9021731,33
"1 PEIGAN CT, LETHBRIDGE, AB, Canada",49.6844409,-112.899464,33
"700 23 ST, LETHBRIDGE, AB, Canada",49.70896579999999,-112.8083445,33
"100 7 ST, LETHBRIDGE, AB, Canada",49.6914227,-112.8369811,32
"1800 8A AV, LETHBRIDGE, AB, Canada",49.6872655,-112.8099929,32
"600 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",49.6911198,-112.8089312,32
"400 11 ST, LETHBRIDGE, AB, Canada",49.6935377,-112.8304267,32
"100 MT CRANDELL CR, LETHBRIDGE, AB, Canada",49.6598941,-112.8812949,32
"800 11 ST, LETHBRIDGE, AB, Canada",49.6873155,-112.8297568,32
"700 4 ST, LETHBRIDGE, AB, Canada",49.6884166,-112.8410269,31
"700 17 ST, LETHBRIDGE, AB, Canada",49.6892487,-112.8177973,31
"1200 13 ST, LETHBRIDGE, AB, Canada",49.6802347,-112.8246242,31
"1200 5A AV, LETHBRIDGE, AB, Canada",49.6923776,-112.828575,31
"500 15 ST, LETHBRIDGE, AB, Canada",49.693435,-112.8210008,31
"1900 18 AV, LETHBRIDGE, AB, Canada",49.72005,-112.81489,31
"1200 6A AV, LETHBRIDGE, AB, Canada",49.6902851,-112.8276864,31
"2700 PARKSIDE DR, LETHBRIDGE, AB, Canada",49.683384,-112.8028283,31
"300 MILDRED DOBBS BD, LETHBRIDGE, AB, Canada",49.7358,-112.83301,31
"200 12A ST, LETHBRIDGE, AB, Canada",49.6969565,-112.8261119,31
"1 SELKIRK RD, LETHBRIDGE, AB, Canada",49.6632165,-112.882864,30
"700 12 ST, LETHBRIDGE, AB, Canada",49.7092544,-112.8298125,30
"100 NORTHLANDER BN, LETHBRIDGE, AB, Canada",49.68714139999999,-112.9179933,30
"2000 32 ST, LETHBRIDGE, AB, Canada",49.670554,-112.7945013,30
"300 19 ST, LETHBRIDGE, AB, Canada",49.7022292,-112.8148779,30
"1 AV & 6 ST, LETHBRIDGE, AB, Canada",49.6956181,-112.8451067,30
"2300 10 AV, LETHBRIDGE, AB, Canada",49.6835412,-112.808643,30
"600 5 ST, LETHBRIDGE, AB, Canada",49.6904101,-112.8401288,29
"500 23 ST, LETHBRIDGE, AB, Canada",49.6932377,-112.8089503,29
"1 AV & MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",49.6790946,-112.8024808,29
"1300 3 AV, LETHBRIDGE, AB, Canada",49.7031048,-112.8241074,29
"1400 LAKEMOUNT BD, LETHBRIDGE, AB, Canada",49.6782703,-112.7904414,29
"2500 13 AV, LETHBRIDGE, AB, Canada",49.7173373,-112.8061521,29
"1 BLACKFOOT BD, LETHBRIDGE, AB, Canada",49.6796737,-112.8960034,29
"600 10 ST, LETHBRIDGE, AB, Canada",49.7077598,-112.8331264,29
"2100 9A AV, LETHBRIDGE, AB, Canada",49.6856995,-112.8110569,29
"2100 15 AV, LETHBRIDGE, AB, Canada",49.6770956,-112.81144,29
