ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
P23009874,"03/03/2023, 5:16:25 PM","03/04/2023, 5:49:01 AM",LETHBRIDGE,AB,.,2900 Block 18 AV,"ADMIN (LOST/FOUND PROPERTY, UNEXPLODED ORDNANCE, MESSAGES, TRANSPORTS)",Other,"ADMIN (LOST/FOUND PROPERTY, UNEXPLODED ORDNANCE, MESSAGES, TRANSPORTS)"
P23009875,"03/03/2023, 5:23:45 PM","03/04/2023, 5:49:01 AM",LETHBRIDGE,AB,.,1200 Block 2A AV,THEFT (LARCENY),Theft,THEFT (LARCENY)
P23009876,"03/03/2023, 5:39:55 PM","03/04/2023, 5:49:01 AM",LETHBRIDGE,AB,.,500 Block 1 ST,PUBLIC SERVICE,Other,PUBLIC SERVICE
P23009877,"03/03/2023, 5:39:57 PM","03/04/2023, 5:49:01 AM",LETHBRIDGE,AB,.,500 Block 11 ST,PARKING COMMISSIONAIRE,Other,PARKING COMMISSIONAIRE
P23009878,"03/03/2023, 5:42:14 PM","03/04/2023, 5:49:01 AM",LETHBRIDGE,AB,.,100 Block MAYOR MAGRATH DR,TRAFFIC VIOLATION/COMPLAINT/HAZARD,Proactive Policing,TRAFFIC VIOLATION/COMPLAINT/HAZARD
CA23004826,"03/03/2023, 3:45:00 PM","03/04/2023, 5:49:01 AM",LETHBRIDGE,AB,.,200 Block 3 AV, RMS] Threats,Other,Threats
RM23051208,"03/01/2023, 3:00:00 PM","03/04/2023, 5:49:09 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Fail to Appear Finger Prints,Other,Fail to Appear Finger Prints
RM23051207,"03/01/2023, 3:00:00 PM","03/04/2023, 5:49:09 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Fail to Appear Finger Prints,Other,Fail to Appear Finger Prints
RM23051206,"03/03/2023, 3:29:00 PM","03/04/2023, 5:49:09 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
P23009861,"03/03/2023, 3:48:21 PM","03/04/2023, 5:48:59 AM",LETHBRIDGE,AB,.,200 Block 3 AV,DAMAGE/VANDALISM/MISCHIEF,Quality of Life,DAMAGE/VANDALISM/MISCHIEF
P23009862,"03/03/2023, 3:53:09 PM","03/04/2023, 5:48:59 AM",LETHBRIDGE,AB,.,1200 Block 9 ST,"PUBLIC SERVICE (LOCK-OUT/LOCK-IN, PEACE, WELFARE, RECKLESS ACTIVITY)",Other,"PUBLIC SERVICE (LOCK-OUT/LOCK-IN, PEACE, WELFARE, RECKLESS ACTIVITY)"
